id,name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
407,no parking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,no parking,618,610,353,0,0,16,6,0,0,0,0,0,0,0,0,0,176,57,0,0,39,401,71,0,0,4,4,0,0,0,0,0,940,108,0,0,8,405,71,0,0,27,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,no parking,0,37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,67,0,0,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,22
1939,no parking,1166,2863,2,0,0,84,15,0,0,0,0,0,0,0,0,0,4535,51,0,0,472,1762,227,0,0,2,0,0,0,0,0,0,3,2,0,0,20,490,0,0,0,177,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,1
1939,no parking,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,parking place,38,454,55,0,0,80,35,0,0,0,0,0,0,0,0,0,271,12,0,0,12,287,73,0,0,0,20,2,0,0,0,0,1,0,0,0,0,36,0,0,0,13,165,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,no parking,0,13,39,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,20,0,0,0,3,0,0,0,0,0,5,24,0,0,0,63,33,0,0,0,43,36,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
476,no parking,0,0,0,0,0,0,31,128,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,0,0,0,3,21,0,0,0,0,8,46,0,0,0,191,32,0,0,0,86,74,0,0,0,35,0,0,0,0,0,14,8,0,0,0,40,19,0,0,0,115
476,parking place,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511,no parking,5,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,70,28,0,0,60,106,13,49,0,0,8,1028,0,0,0,3,8,2,0,0,7,184,29,0,0,111,106,587,0,0,1,113,1,0,0,0,2,1218,132,0,0,285,1010,61,0,0,60,1795
1704,no parking,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,turn,267,65,9,0,0,125,773,0,0,0,0,0,0,0,0,0,42,0,0,0,54,95,24,0,0,3,36,0,0,0,0,0,0,0,0,0,0,60,1,0,0,79,248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1
3079,no parking,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,43,0,0,1,73,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6,61,0,0,0,1,0
3079,parking place,0,37,42,0,0,99,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,152,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,162,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3079,parking place,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
